# Results of Galfit fitting to the mock r-band images of EAGLE galaxies at z=0.1
#
# COLUMN 1	[-]	Unique galaxy ID
# COLUMN 2	[mag]	best-fit integrated AB magnitude from Galfit
# COLUMN 3	[mag]	uncertainty on the best-fit integrated AB magnitude from Galfit
# COLUMN 4	[kpc]	best-fit semi-major axis from Galfit
# COLUMN 5	[kpc]	uncertainty on the best-fit semi-major axis from Galfit
# COLUMN 6	[-]	best-fit Sersic index from Galfit
# COLUMN 7	[-]	uncertainty on the best-fit Sersic index from Galfit
# COLUMN 8	[-]	best-fit axis ratio from Galfit
# COLUMN 9	[-]	uncertainty on the best-fit axis ratio from Galfit
# COLUMN 10	[deg]	best-fit position angle from Galfit 
# COLUMN 11	[deg]	uncertainty on the best-fit position angle from Galfit
# COLUMN 12	[-]	quality flag (see description in Section 3.2.3)
#
GalaxyID,galfit_mag,galfit_dmag,galfit_re,galfit_dre,galfit_n,galfit_dn,galfit_q,galfit_dq,galfit_PA,galfit_dPA,flag
2658206,19.1854,0.04,1.875,0.098,2.2617,0.38,0.7303,0.04,-4.3376,5.9,0
2659780,18.8594,0.03,2.981,0.136,1.5852,0.14,0.7079,0.03,27.0627,3.68,0
2663001,19.0605,0.06,2.074,0.204,3.4823,0.61,0.8917,0.06,-30.3972,17.39,0
2721237,17.2359,0.01,2.796,0.053,2.6952,0.09,0.8973,0.01,-22.1399,3.79,0
2727612,17.5216,0.01,2.341,0.023,1.6587,0.06,0.4639,0.01,25.1973,0.54,0
2748528,17.9509,0.02,4.155,0.106,1.4342,0.05,0.8293,0.01,-54.4818,3.49,0
2754914,17.6829,0.07,17.31,1.719,2.4478,0.17,0.7009,0.03,-14.8316,3.69,0
2760302,18.4074,0.02,4.89,0.143,1.1259,0.05,0.5164,0.01,59.0698,1.26,0
2769527,18.5704,0.03,4.805,0.226,1.3807,0.08,0.7839,0.02,-85.8658,4.84,0
2780929,18.2535,0.02,3.331,0.083,1.2382,0.05,0.8169,0.02,69.9731,3.61,0
2804983,18.2207,0.02,5.037,0.158,1.2055,0.05,0.729,0.02,19.5022,2.65,0
2823428,18.1881,0.02,3.469,0.121,1.8898,0.1,0.8596,0.02,73.7501,5.37,0
2838436,17.5584,0.01,9.018,0.113,0.5896,0.02,0.3833,0.0,79.0259,0.42,0
2875468,18.0097,0.02,6.423,0.143,0.8826,0.03,0.6379,0.01,28.8577,1.54,0
2879922,18.9892,0.03,2.761,0.113,1.3869,0.13,0.7231,0.03,36.3861,4.18,0
2885114,18.1696,0.06,12.596,1.04,1.9073,0.14,0.5276,0.02,85.4491,2.14,0
2914906,17.848,0.02,10.581,0.271,0.9498,0.04,0.381,0.01,83.89,0.7,0
2939345,17.9566,0.03,10.778,0.392,1.2614,0.05,0.3835,0.01,-35.5516,0.83,0
2948351,18.066,0.02,6.053,0.188,1.243,0.05,0.6964,0.01,-59.2339,2.2,0
2958110,18.3351,0.04,7.881,0.482,1.9823,0.13,0.4016,0.01,41.7268,1.15,0
2965595,18.5498,0.01,2.129,0.045,1.1635,0.1,0.5709,0.02,76.8324,1.52,0
2979099,18.0457,0.02,8.933,0.309,1.1923,0.05,0.4453,0.01,-84.5893,1.01,0
3274716,17.6488,0.0,1.05,0.015,1.8853,0.12,0.5185,0.01,-2.3256,0.99,0
3397223,19.0671,0.02,2.843,0.09,0.8809,0.07,0.6903,0.02,-41.3722,3.3,0
3431983,17.896,0.01,1.252,0.023,2.1424,0.14,0.8726,0.02,-60.9597,4.85,0
3433382,17.9446,0.01,2.024,0.03,1.7984,0.1,0.4513,0.01,-5.5967,0.77,0
3434292,18.3175,0.02,4.035,0.128,1.5643,0.08,0.5667,0.01,54.6452,1.44,0
3435558,18.7742,0.02,2.608,0.083,1.6027,0.14,0.6384,0.02,48.0101,2.54,0
3436085,18.5277,0.03,2.284,0.106,2.9835,0.31,0.6684,0.03,39.6091,2.92,0
3436884,17.7682,0.0,2.117,0.023,1.0116,0.05,0.5212,0.01,-26.4795,0.68,0
3456596,17.4234,0.02,4.407,0.151,2.8807,0.1,0.8335,0.01,36.0954,2.91,0
3458705,18.7589,0.03,6.124,0.249,0.9479,0.06,0.4805,0.01,89.6941,1.62,0
3461245,18.5248,0.01,1.568,0.038,1.3609,0.13,0.5864,0.02,26.9366,1.78,0
3463998,18.5285,0.07,4.989,0.596,3.2862,0.35,0.9601,0.04,5.0491,37.34,0
3467012,18.6062,0.01,1.203,0.045,2.2898,0.28,0.7282,0.03,-39.6216,3.95,0
3467929,18.4445,0.02,2.233,0.06,2.0209,0.16,0.8125,0.02,22.1389,4.56,0
3469438,19.1353,0.04,3.396,0.188,1.5347,0.17,0.4858,0.02,43.8202,2.15,0
3473902,18.6467,0.02,2.173,0.045,1.4081,0.12,0.7814,0.02,-77.7222,4.01,0
3477851,18.7921,0.02,2.268,0.068,1.8326,0.19,0.631,0.02,82.2436,2.64,0
3480007,18.8177,0.01,2.548,0.038,0.794,0.07,0.493,0.01,34.2134,1.32,0
3518865,17.74,0.01,3.273,0.053,1.4484,0.04,0.6003,0.01,32.2582,0.93,0
3521602,17.8758,0.01,1.74,0.023,1.0571,0.06,0.405,0.01,57.4893,0.62,0
