# Results of Galfit fitting to the stellar mass projections of EAGLE galaxies at z=0.1
#
# COLUMN 1	[-]	Unique galaxy ID
# COLUMN 2	[-]	best-fit integrated stellar mass log(Mstar/Msun) from Galfit 
# COLUMN 3	[-]	uncertainty on the best-fit integrated stellar mass log(Mstar/Msun) from Galfit
# COLUMN 4	[kpc]	best-fit semi-major axis from Galfit 
# COLUMN 5	[kpc]	uncertainty on the best-fit semi-major axis from Galfit 
# COLUMN 6	[-]	best-fit Sersic index from Galfit
# COLUMN 7	[-]	uncertainty on the best-fit Sersic index from Galfit
# COLUMN 8	[-]	best-fit axis ratio from Galfit
# COLUMN 9	[-]	uncertainty on the best-fit axis ratio from Galfit
# COLUMN 10	[deg]	best-fit position angle from Galfit 
# COLUMN 11	[deg]	uncertainty on the best-fit position angle from Galfit
# COLUMN 12	[-]	quality flag (see description in Section 3.2.3)
#
GalaxyID,galfit_lmstar,galfit_dlmstar,galfit_re,galfit_dre,galfit_n,galfit_dn,galfit_q,galfit_dq,galfit_PA,galfit_dPA,flag
629180,10.456,0.008,5.834,0.158,1.5681,0.05,0.645,0.01,32.4962,1.41,0
636523,10.052,0.012,2.132,0.098,2.5479,0.3,0.7767,0.03,58.2556,5.39,0
641392,10.636,0.004,3.341,0.03,1.4544,0.03,0.4706,0.0,-65.4176,0.44,0
653641,10.599,0.008,4.452,0.113,2.2411,0.07,0.8354,0.01,71.3177,2.69,0
962987,10.509,0.008,3.102,0.075,2.3954,0.09,0.8359,0.01,-32.2963,3.02,0
965536,10.088,0.008,4.118,0.143,1.3214,0.08,0.3896,0.01,21.7945,1.05,0
966292,10.279,0.004,2.178,0.03,1.0834,0.06,0.8129,0.01,33.0349,2.99,0
970456,10.233,0.008,3.597,0.128,1.6867,0.09,0.8412,0.02,49.9942,5.08,0
981981,10.513,0.008,4.106,0.143,2.7104,0.11,0.7981,0.01,-85.9071,2.61,0
993698,10.131,0.016,3.662,0.249,2.3796,0.2,0.8667,0.03,-12.189400000000006,8.7,0
1008743,10.516,0.004,4.483,0.068,1.5701,0.04,0.3465,0.0,-48.58260000000001,0.4,0
1012225,10.181,0.012,3.354,0.128,1.6608,0.1,0.8017,0.02,15.005300000000005,4.3,0
1017877,10.156,0.008,2.19,0.06,2.233,0.2,0.655,0.02,-19.040400000000005,2.42,0
1021936,10.207,0.012,3.19,0.128,1.9388,0.12,0.8247,0.02,24.133499999999998,4.89,0
1022650,10.122,0.016,3.737,0.226,2.1656,0.17,0.7565,0.03,-11.932099999999991,4.33,0
1028772,10.031,0.008,1.833,0.06,1.6685,0.19,0.6954,0.03,63.1481,3.36,0
1032412,10.137,0.008,2.597,0.075,1.3739,0.09,0.9018,0.02,-75.8874,9.0,0
1039437,10.104,0.02,6.793,0.573,2.3301,0.21,0.3907,0.02,68.386,1.42,0
1049778,10.241,0.004,2.03,0.045,1.914,0.14,0.4412,0.01,34.0235,1.02,0
1053070,10.015,0.02,3.101,0.234,2.3071,0.25,0.9162,0.04,44.5609,17.35,0
1355480,10.242,0.012,4.719,0.188,1.5677,0.08,0.7316,0.02,39.972,2.92,0
1363926,10.229,0.012,4.339,0.188,1.8993,0.11,0.6597,0.02,35.982,2.25,0
1375834,10.44,0.008,5.506,0.158,1.7623,0.06,0.5705,0.01,2.6041000000000025,1.1,0
1376784,10.186,0.016,5.521,0.317,1.6821,0.1,0.8423,0.03,-84.4189,7.01,0
1383229,10.209,0.012,4.667,0.241,1.8691,0.11,0.8423,0.03,86.4995,6.22,0
1385469,10.223,0.004,2.089,0.045,2.2345,0.18,0.4131,0.02,-52.36330000000001,1.03,0
1390573,10.222,0.008,2.886,0.083,1.5714,0.09,0.9034,0.02,66.4885,8.25,0
1393940,10.445,0.004,3.472,0.053,1.2035,0.03,0.5971,0.01,-53.790099999999995,0.91,0
1399923,10.136,0.008,3.244,0.121,1.8809,0.14,0.4834,0.02,-77.5974,1.38,0
1403093,10.418,0.004,3.936,0.06,1.0839,0.03,0.4883,0.01,72.0248,0.66,0
1406432,10.185,0.008,3.022,0.075,1.1804,0.05,0.8508,0.02,-50.086299999999994,5.06,0
1407376,10.211,0.028,8.371,0.859,2.3227,0.2,0.8807,0.04,75.1532,12.4,0
1416533,10.355,0.004,2.418,0.03,1.2385,0.05,0.8374,0.01,-26.85589999999999,3.13,0
1419939,10.188,0.012,3.759,0.143,1.7048,0.1,0.6584,0.02,-85.7333,2.25,0
1422232,9.999,0.012,2.748,0.106,1.5762,0.15,0.5925,0.02,34.6861,2.43,0
1427448,10.331,0.004,8.326,0.151,0.7592,0.03,0.2289,0.0,81.8895,0.35,0
1699531,10.168,0.008,2.717,0.06,1.5093,0.1,0.4948,0.01,32.7883,1.21,0
1703010,10.301,0.008,3.624,0.113,1.5726,0.07,0.9352,0.02,-32.924199999999985,11.56,0
1704972,10.162,0.008,3.196,0.068,1.3154,0.08,0.3812,0.01,-72.6899,0.84,0
1718561,10.246,0.008,2.979,0.068,1.1731,0.05,0.9383,0.02,-76.8058,11.43,0
1732243,10.296,0.008,5.963,0.211,1.3563,0.06,0.6505,0.01,57.1212,1.96,0
1734712,10.138,0.008,2.133,0.053,1.7364,0.15,0.6699,0.02,71.64099999999999,2.4,0
1738146,10.085,0.008,2.431,0.045,1.1303,0.09,0.5904,0.02,55.6981,1.76,0
1740037,10.156,0.012,3.541,0.128,1.4343,0.08,0.8402,0.02,-86.841,5.67,0
1745906,10.757,0.004,5.118,0.128,3.4216,0.1,0.4025,0.01,-20.0771,0.39,0
1749435,10.151,0.008,2.78,0.068,1.486,0.1,0.515,0.02,0.39100000000000534,1.34,0
1760771,10.133,0.016,4.872,0.249,1.4461,0.09,0.8583,0.03,7.974599999999995,7.93,0
1774857,9.959,0.016,3.174,0.166,1.4558,0.13,0.7547,0.03,-66.4085,5.06,0
1776127,10.122,0.012,4.124,0.181,1.7057,0.12,0.4819,0.02,-78.341,1.43,0
1784464,10.034,0.012,2.809,0.113,1.4816,0.12,0.8592,0.03,38.2509,7.98,0
1784921,9.997,0.016,4.212,0.256,1.708,0.15,0.5346,0.02,-66.69200000000001,2.26,0
2044166,10.057,0.024,6.76,0.55,1.5721,0.13,0.7809,0.04,44.0212,7.02,0
2045967,10.058,0.016,2.85,0.151,1.9472,0.17,0.9646,0.03,-66.3544,35.79,0
2047699,10.565,0.0,2.241,0.015,1.0576,0.04,0.3389,0.01,18.553799999999995,0.35,0
2062484,10.17,0.008,4.403,0.121,1.0948,0.05,0.4466,0.01,38.7282,1.0,0
2065457,10.515,0.004,1.057,0.015,2.6482,0.15,0.8335,0.01,35.9651,3.29,0
2075221,10.126,0.032,8.886,1.101,2.3079,0.24,0.7689,0.04,51.9376,7.17,0
2082099,10.239,0.004,2.765,0.06,1.4088,0.08,0.6191,0.01,54.0468,1.53,0
2112127,10.145,0.008,2.32,0.068,2.1973,0.2,0.5856,0.02,61.388400000000004,1.95,0
2116222,10.254,0.02,6.91,0.528,2.5414,0.18,0.5948,0.02,-68.63329999999999,2.17,0
2120454,10.218,0.016,4.982,0.271,2.0774,0.13,0.6439,0.02,-72.4568,2.36,0
2292113,10.3,0.008,3.792,0.106,1.4444,0.06,0.7653,0.02,57.9039,2.72,0
2293314,10.086,0.016,3.542,0.241,2.2112,0.2,0.884,0.03,-10.755300000000005,10.74,0
2297047,10.284,0.004,2.863,0.03,0.8253,0.03,0.4028,0.01,-32.3065,0.62,0
2304937,10.267,0.004,2.327,0.03,1.1766,0.07,0.45,0.01,-1.9776999999999987,0.82,0
2318347,10.19,0.008,2.689,0.06,1.1781,0.06,0.8261,0.02,-65.1185,4.1,0
2327517,10.186,0.008,2.09,0.045,1.6408,0.12,0.8315,0.02,-56.7315,4.68,0
2331971,10.203,0.004,2.807,0.038,0.7859,0.04,0.5144,0.01,-64.3198,0.97,0
2334226,10.039,0.016,3.209,0.219,2.2273,0.22,0.8744,0.04,30.9602,10.61,0
2335941,10.154,0.016,4.49,0.309,2.1461,0.16,0.9298,0.03,-40.789500000000004,17.29,0
2339507,10.057,0.008,2.712,0.083,1.5708,0.14,0.5374,0.02,80.5137,1.76,0
2340104,9.964,0.012,3.143,0.121,1.2462,0.11,0.5174,0.02,72.1033,1.91,0
2355102,10.147,0.008,2.461,0.075,1.8192,0.14,0.8052,0.02,35.9879,4.53,0
2363904,10.45,0.004,4.141,0.083,1.3946,0.04,0.7884,0.01,-59.17869999999999,2.28,0
2389393,10.71,0.008,11.404,0.324,1.8798,0.05,0.5221,0.01,82.2385,0.77,0
2393675,10.028,0.008,3.192,0.106,1.1175,0.07,0.6506,0.02,-30.289299999999997,2.56,0
2412731,10.062,0.012,3.177,0.151,1.9926,0.18,0.5269,0.02,5.3797,1.88,0
2421203,10.25,0.008,5.994,0.181,1.3326,0.06,0.3497,0.01,-49.5701,0.71,0
2424089,10.109,0.016,5.777,0.332,1.4857,0.1,0.6648,0.02,30.0524,3.18,0
2425267,10.358,0.004,4.042,0.083,1.2877,0.04,0.6142,0.01,78.4214,1.23,0
2430739,10.226,0.008,2.372,0.045,1.6331,0.11,0.7019,0.02,-74.2529,2.23,0
2436608,10.134,0.008,2.654,0.06,1.3641,0.1,0.5416,0.02,6.907300000000006,1.46,0
2442015,10.164,0.016,7.156,0.482,1.8535,0.13,0.5088,0.02,-22.046099999999996,1.84,0
2446634,10.262,0.012,5.687,0.241,1.6363,0.08,0.6032,0.02,9.492199999999997,1.8,0
2456279,10.066,0.016,4.126,0.234,1.6757,0.13,0.765,0.03,-17.99770000000001,4.88,0
2458050,10.052,0.016,7.135,0.392,1.2768,0.09,0.3911,0.01,-26.562299999999993,1.36,0
2460841,10.042,0.012,4.219,0.204,1.6928,0.13,0.3783,0.02,-75.9667,1.2,0
2486315,10.112,0.016,3.925,0.234,1.9614,0.15,0.8337,0.03,28.814700000000002,6.79,0
2490438,10.119,0.016,3.957,0.226,2.107,0.17,0.6304,0.02,75.2848,2.57,0
2491995,10.6,0.008,4.336,0.113,2.475,0.08,0.7644,0.01,78.0489,1.8,0
2506302,10.017,0.016,3.407,0.181,1.6875,0.15,0.6912,0.03,89.9362,3.58,0
2513876,10.243,0.008,2.329,0.045,1.4166,0.08,0.9635,0.02,60.9482,19.86,0
2531700,9.999,0.008,2.731,0.075,1.4542,0.14,0.4301,0.02,69.1833,1.42,0
2533443,10.069,0.016,3.03,0.219,2.6119,0.27,0.8504,0.04,-62.107699999999994,8.56,0
2536262,10.17,0.008,2.614,0.053,1.5062,0.11,0.4789,0.01,88.845,1.16,0
2559053,10.155,0.012,3.605,0.158,1.7116,0.11,0.7857,0.02,4.686999999999998,4.27,0
2564494,10.288,0.004,4.817,0.106,1.0477,0.04,0.4651,0.01,26.079700000000003,0.84,0
2566863,10.185,0.02,8.144,0.709,2.6878,0.23,0.3139,0.01,71.0996,1.0,0
2570871,10.254,0.012,5.304,0.226,1.4571,0.07,0.9223,0.02,29.170299999999997,12.35,0
2596042,10.029,0.012,3.913,0.173,1.5251,0.12,0.4362,0.02,-0.4057999999999993,1.42,0
2599936,10.035,0.012,3.499,0.143,1.0821,0.07,0.9444,0.03,21.286900000000003,21.01,0
2603883,10.252,0.008,3.707,0.098,1.3684,0.06,0.6223,0.01,-26.094499999999982,1.58,0
2618225,10.49,0.004,3.998,0.06,1.0353,0.03,0.828,0.01,-42.85990000000001,2.44,4
2631022,10.303,0.004,1.628,0.023,0.9764,0.07,0.458,0.01,-28.859700000000004,0.87,0
2631558,10.211,0.004,2.404,0.045,1.4953,0.1,0.6407,0.02,-71.1765,1.79,0
2632003,9.994,0.012,2.277,0.09,1.7873,0.19,0.8249,0.03,-26.585199999999986,6.97,0
2632460,10.174,0.008,2.454,0.068,1.9945,0.16,0.6594,0.02,72.9453,2.29,0
2635686,10.033,0.008,2.671,0.09,1.4354,0.12,0.6596,0.02,-11.535599999999988,2.73,0
2637010,10.108,0.016,2.44,0.143,2.8566,0.3,0.8921,0.03,-29.794299999999993,11.32,0
2638164,10.06,0.004,1.746,0.045,1.1163,0.11,0.8532,0.02,-72.85679999999999,6.31,0
2641811,10.006,0.008,1.52,0.06,1.8841,0.25,0.8274,0.03,46.7969,7.22,0
2642937,10.112,0.008,4.59,0.166,1.2519,0.07,0.4803,0.01,-86.3862,1.34,0
2645762,9.992,0.012,3.144,0.136,1.5216,0.14,0.5967,0.02,-67.9745,2.49,0
2648882,10.195,0.004,2.737,0.038,0.8635,0.04,0.475,0.01,4.512299999999996,0.92,0
2653575,10.044,0.012,2.849,0.128,1.6776,0.14,0.853,0.03,34.3521,7.75,0
2658206,10.021,0.008,1.855,0.06,1.7875,0.21,0.7334,0.03,-11.966200000000015,4.1,0
2659780,10.115,0.008,2.857,0.09,1.4297,0.1,0.7479,0.02,20.6991,3.39,0
2663001,10.034,0.012,1.909,0.098,2.8241,0.37,0.8568,0.04,-84.45570000000001,9.58,0
2721237,10.803,0.004,2.469,0.03,2.6869,0.07,0.9092,0.01,-28.486999999999995,3.24,0
2727612,10.622,0.0,2.314,0.023,1.5647,0.05,0.439,0.01,25.7821,0.44,0
2748528,10.249,0.012,4.472,0.204,1.9368,0.11,0.7543,0.02,-50.80770000000001,3.32,0
2754914,10.057,0.04,9.676,1.515,2.6043,0.33,0.5677,0.04,-11.39530000000002,3.7,0
2760302,9.99,0.008,2.667,0.083,1.2532,0.11,0.5982,0.02,63.039100000000005,2.3,0
2769527,10.141,0.02,5.497,0.482,2.5179,0.22,0.7082,0.03,-83.4403,3.98,0
2780929,10.095,0.016,3.695,0.211,1.9029,0.15,0.7908,0.03,65.0073,5.28,0
2804983,10.034,0.02,4.054,0.294,2.0595,0.19,0.7368,0.03,36.3885,4.81,0
2823428,10.052,0.012,2.824,0.128,1.7867,0.16,0.8036,0.03,78.9475,5.63,0
2838436,10.369,0.008,7.949,0.211,1.2004,0.04,0.3569,0.01,82.2514,0.62,0
2875468,10.2,0.016,6.192,0.369,1.8846,0.12,0.6246,0.02,24.1015,2.43,0
2879922,10.025,0.012,2.643,0.121,1.8503,0.18,0.7592,0.03,35.8169,4.7,0
2885114,10.06,0.024,5.687,0.55,2.3308,0.23,0.6546,0.03,-86.825,3.77,0
2914906,10.049,0.02,7.232,0.58,1.7612,0.16,0.4632,0.02,78.9472,1.99,0
2939345,10.254,0.016,6.853,0.475,2.5527,0.18,0.452,0.02,-34.839,1.3,0
2948351,9.992,0.016,4.143,0.249,1.4756,0.12,0.7444,0.03,-55.0603,4.98,0
2958110,10.034,0.012,3.813,0.196,1.883,0.17,0.3946,0.02,45.5887,1.33,0
2965595,10.225,0.004,2.098,0.03,0.9932,0.07,0.5559,0.01,75.9166,1.18,0
2979099,10.019,0.016,5.433,0.339,1.4665,0.12,0.5716,0.02,-83.7262,2.6,0
3274716,10.699,0.0,0.985,0.008,1.6627,0.08,0.4873,0.01,-3.743499999999983,0.68,4
3397223,10.006,0.012,2.503,0.09,1.5812,0.16,0.6835,0.03,-38.450500000000005,3.28,0
3431983,10.49,0.004,1.108,0.015,2.1377,0.12,0.8878,0.01,-54.88640000000001,4.9,0
3433382,10.488,0.004,1.908,0.023,1.6743,0.08,0.4472,0.01,-6.469499999999982,0.61,0
3434292,10.337,0.008,3.602,0.083,1.5444,0.06,0.5504,0.01,54.0825,1.06,0
3435558,10.163,0.008,2.468,0.053,1.4889,0.11,0.596,0.02,49.1165,1.66,0
3436085,10.084,0.016,2.859,0.204,3.1646,0.37,0.5859,0.03,41.6149,2.57,0
3436884,10.615,0.0,2.05,0.015,0.9695,0.03,0.5257,0.01,-26.2885,0.51,0
