GalaxyID,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate
16281215,8.3081191E10,2.21607002E11,3.77981764E12,2.23624688E8,1.38298912E8,8.3947315,2.3217921
16284846,4.390803E10,1.74734502E9,2.09170629E11,2.6172152E7,1.626481E7,7.185522,0.59047556
16287110,8.4002505E10,0.0,1.19539918E12,1.40221517E9,1.6332856E8,8.81465,0.0
16291700,1.2973677E11,4.40757584E11,6.6986852E12,5.6227622E8,2.4446648E8,8.629184,4.007965
16300532,3.49517349E11,1.59329432E12,1.57503885E13,9.0342381E8,5.08792576E8,8.040233,10.184565
16322846,7.0850462E10,3.8818791E10,4.07696048E12,2.40368672E8,1.8801968E8,8.884382,0.21308208
16329215,3.7646119E10,9.4957257E10,1.73800187E12,5.163598E7,1.6957472E7,6.350014,3.9185255
16331602,1.52965759E11,8.4601071E11,9.3066908E12,5.0781392E8,2.38554384E8,7.9620566,4.517113
16342999,8.6620537E10,1.29767948E11,2.43272935E12,1.00921576E8,3.3514272E7,6.5768766,4.153109
16347100,6.6765828E10,1.74108443E11,3.03197061E12,1.30143944E8,7.4409616E7,7.315785,2.750972
16351397,8.4752409E10,2.90207296E8,1.71030308E12,3.12613216E8,2.70501472E8,9.337359,0.07434754
16360007,5.1069829E10,4.6185733E9,1.50806436E12,1.27956968E8,9.2835888E7,7.792762,0.36049452
16364620,8.2115305E10,1.58189437E11,3.39652379E12,1.41458368E8,9.0344704E7,7.59822,1.5001034
16369839,7.2983339E10,2.13636055E11,3.13145138E12,1.22420064E8,7.3861464E7,6.8770256,0.101254836
16373728,5.6009187E10,2.48610554E11,2.83192302E12,6.5488116E7,1.4065314E7,6.18481,4.4768496
16376965,6.6810352E10,1.39848581E11,4.6694442E12,2.57768784E8,1.5188536E8,9.04962,0.27839682
16382118,7.1264379E10,2.03379081E11,3.05698387E12,6.8250304E7,2.5210542E7,6.685982,4.936585
16385871,6.5787761E10,2.92213883E11,3.50218984E12,1.44503968E8,5.94197E7,7.892836,1.1650053
16390784,3.9372259E10,2.75106398E11,3.45560528E12,1.34633328E8,6.1447812E7,7.6548414,0.7000678
16394337,7.2965603E10,2.94046466E11,3.48020172E12,1.32001968E8,5.9678532E7,6.415418,5.720033
